trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.312312774367902, 'e': 0.6149999999999997}",20,0,-74.78126792747575,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.30762808275238346, 'e': 0.6099999999999997}",20,0,9.679098656007561,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.3030136615110977, 'e': 0.6049999999999996}",25,0,-33.95248667801379,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.29846845658843124, 'e': 0.5999999999999996}",25,15,5.68484484807753,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.2939914297396048, 'e': 0.5949999999999996}",20,0,-32.73874579997734,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.28958155829351073, 'e': 0.5899999999999996}",25,5,-58.26546631990026,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.2852378349191081, 'e': 0.5849999999999996}",35,0,-111.4571667245587,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.28095926739532145, 'e': 0.5799999999999996}",25,8,-72.4860456754992,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
85,False,"{'a': 0.2767448783843916, 'e': 0.5749999999999996}",30,22,0.3086620605821886,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.27259370520862575, 'e': 0.5699999999999996}",20,0,-67.13253145970246,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.26850479963049634, 'e': 0.5649999999999996}",20,5,-12.801396490844983,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.26447722763603887, 'e': 0.5599999999999996}",30,15,-35.45582782299239,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.2605100692214983, 'e': 0.5549999999999996}",20,0,-36.914289835816646,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
90,False,"{'a': 0.2566024181831758, 'e': 0.5499999999999996}",20,0,-54.00122070666702,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.2527533819104282, 'e': 0.5449999999999996}",20,0,-64.15502220393515,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.24896208118177174, 'e': 0.5399999999999996}",35,18,19.767595840234023,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.24522764996404517, 'e': 0.5349999999999996}",20,0,31.798713093625842,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.2415492352145845, 'e': 0.5299999999999996}",20,0,-62.47316362871668,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.23792599668636571, 'e': 0.5249999999999996}",25,9,7.363269128909139,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.23435710673607021, 'e': 0.5199999999999996}",35,17,-19.762783148373387,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.23084175013502917, 'e': 0.5149999999999996}",25,0,-109.80409158755171,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
